created_at,full_text,username,cleaned_text,translate_text,lower_text,normalize_text,stopwords_text,tokenisasi_text,stemming_text,sentimen
Sun Oct 27 16:32:20 +0000 2024,Mengapa Banyak Negara ingin bergabung dengan BRICS? Termasuk Indonesia -A Thread- https://t.co/Ee4cJqJHYp,TxtdariHI,Mengapa Banyak Negara ingin bergabung dengan BRICS Termasuk Indonesia A Thread,Mengapa Banyak Negara ingin bergabung dengan BRICS Termasuk Indonesia A Thread,mengapa banyak negara ingin bergabung dengan brics termasuk indonesia a thread,mengapa banyak negara ingin bergabung dengan brics termasuk indonesia a thread,negara bergabung brics indonesia a thread,"['negara', 'bergabung', 'brics', 'indonesia', 'a', 'thread']",negara gabung brics indonesia a thread,Netral
Fri Oct 25 07:08:34 +0000 2024,1 brics = Rp 366.000 per tgl 25 oktober. Baru kemarin diluncurin nilai tukarnya udah mau ngalahin crypto https://t.co/pO5KrPuVVR,destsoe,1 brics Rp 366000 per tgl 25 oktober Baru kemarin diluncurin nilai tukarnya udah mau ngalahin crypto,1 brics Rp 366000 per tgl 25 oktober Baru kemarin diluncurin nilai tukarnya udah mau ngalahin crypto,1 brics rp 366000 per tgl 25 oktober baru kemarin diluncurin nilai tukarnya udah mau ngalahin crypto,1 brics rp 366000 per tgl 25 oktober baru kemarin diluncurin nilai tukarnya udah ingin ngalahin crypto,1 brics rp 366000 tgl 25 oktober kemarin diluncurin nilai tukarnya udah ngalahin crypto,"['1', 'brics', 'rp', '366000', 'tgl', '25', 'oktober', 'kemarin', 'diluncurin', 'nilai', 'tukarnya', 'udah', 'ngalahin', 'crypto']",1 brics rp 366000 tgl 25 oktober kemarin diluncurin nilai tukar udah ngalahin crypto,Positif
Fri Oct 25 12:43:48 +0000 2024,Kalo pada akhirnya Indonesia join BRICS good move or bad move?,TxtdariHI,Kalo pada akhirnya Indonesia join BRICS good move or bad move,Kalo pada akhirnya Indonesia join BRICS good move or bad move,kalo pada akhirnya indonesia join brics good move or bad move,kalau pada akhirnya indonesia join brics good move or bad move,indonesia join brics good move or bad move,"['indonesia', 'join', 'brics', 'good', 'move', 'or', 'bad', 'move']",indonesia join brics good move or bad move,Positif
Fri Oct 25 06:10:58 +0000 2024,JUST IN: 🇮🇩 Indonesia officially begins process of becoming a BRICS member. https://t.co/Bxv83PESOZ,BRICSinfo,JUST IN 🇮🇩 Indonesia officially begins process of becoming a BRICS member,BARU SAJA 🇮🇩 Indonesia resmi memulai proses menjadi anggota BRICS,baru saja 🇮🇩 indonesia resmi memulai proses menjadi anggota brics,baru saja 🇮🇩 indonesia resmi memulai proses menjadi anggota brics,🇮🇩 indonesia resmi proses anggota brics,"['🇮', '🇩', 'indonesia', 'resmi', 'proses', 'anggota', 'brics']",indonesia resmi proses anggota brics,Positif
Thu Aug 08 05:47:32 +0000 2024,🇷🇺 🇮🇩 Russia and Indonesia to hold first joint naval drills in November. https://t.co/XgHJ7t9Z9G,BRICSinfo,🇷🇺 🇮🇩 Russia and Indonesia to hold first joint naval drills in November,Rusia dan Indonesia akan menggelar latihan angkatan laut gabungan pertama pada bulan November,rusia dan indonesia akan menggelar latihan angkatan laut gabungan pertama pada bulan november,rusia dan indonesia akan menggelar latihan angkatan laut gabungan pertama pada bulan november,rusia indonesia menggelar latihan angkatan laut gabungan november,"['rusia', 'indonesia', 'menggelar', 'latihan', 'angkatan', 'laut', 'gabungan', 'november']",rusia indonesia gelar latih angkat laut gabung november,Negatif
Thu Oct 24 14:24:59 +0000 2024,Ini bagus! Bisa mengurangi dominasi Amerika tapi? Ya liat dulu perkembangannya toh belum resmi. Ada tapi lagi nggak? Yo ada! Jangan sampai mata uang BRICS dimonopoli oleh BRICS itu sendiri sehingga negara anggota seperti Indonesia tidak dijadikan sapi perah oleh BRICS. https://t.co/TprBFHT7kt,hnirankara,Ini bagus Bisa mengurangi dominasi Amerika tapi Ya liat dulu perkembangannya toh belum resmi Ada tapi lagi nggak Yo ada Jangan sampai mata uang BRICS dimonopoli oleh BRICS itu sendiri sehingga negara anggota seperti Indonesia tidak dijadikan sapi perah oleh BRICS,Ini bagus Bisa mengurangi dominasi Amerika tapi Ya liat dulu perkembangannya toh belum resmi Ada tapi lagi nggak Yo ada Jangan sampai mata uang BRICS dimonopoli oleh BRICS itu sendiri sehingga negara anggota seperti Indonesia tidak dijadikan sapi perah oleh BRICS,ini bagus bisa mengurangi dominasi amerika tapi ya liat dulu perkembangannya toh belum resmi ada tapi lagi nggak yo ada jangan sampai mata uang brics dimonopoli oleh brics itu sendiri sehingga negara anggota seperti indonesia tidak dijadikan sapi perah oleh brics,ini bagus bisa mengurangi dominasi amerika tapi ya lihat dulu perkembangannya toh belum resmi ada tapi lagi tidak yo ada jangan sampai mata uang brics dimonopoli oleh brics itu sendiri sehingga negara anggota seperti indonesia tidak dijadikan sapi perah oleh brics,bagus mengurangi dominasi amerika ya lihat perkembangannya resmi yo mata uang brics dimonopoli brics negara anggota indonesia dijadikan sapi perah brics,"['bagus', 'mengurangi', 'dominasi', 'amerika', 'ya', 'lihat', 'perkembangannya', 'resmi', 'yo', 'mata', 'uang', 'brics', 'dimonopoli', 'brics', 'negara', 'anggota', 'indonesia', 'dijadikan', 'sapi', 'perah', 'brics']",bagus kurang dominasi amerika ya lihat kembang resmi yo mata uang brics monopoli brics negara anggota indonesia jadi sapi perah brics,Positif
Fri Oct 25 04:38:22 +0000 2024,#FMSugiono at the BRICS Plus Summit expressed Indonesia s intention to join BRICS in Kazan Russia (24/10). Indonesia reaffirmed the importance of global solidarity and called for a ceasefire in Palestine and Lebanon. #FMSugiono highlighted BRICS role in strengthening https://t.co/w8r5t9cjVH,Kemlu_RI,FMSugiono at the BRICS Plus Summit expressed Indonesia s intention to join BRICS in Kazan Russia 2410 Indonesia reaffirmed the importance of global solidarity and called for a ceasefire in Palestine and Lebanon FMSugiono highlighted BRICS role in strengthening,Menlu Sugiono pada KTT BRICS Plus sampaikan keinginan Indonesia untuk bergabung dengan BRICS di Kazan Rusia 2410 Indonesia tegaskan pentingnya solidaritas global dan serukan gencatan senjata di Palestina dan Lebanon Menlu Sugiono soroti peran BRICS dalam memperkuat,menlu sugiono pada ktt brics plus sampaikan keinginan indonesia untuk bergabung dengan brics di kazan rusia 2410 indonesia tegaskan pentingnya solidaritas global dan serukan gencatan senjata di palestina dan lebanon menlu sugiono soroti peran brics dalam memperkuat,menlu sugiono pada ktt brics plus sampaikan keinginan indonesia untuk bergabung dengan brics di kazan rusia 2410 indonesia tegaskan pentingnya solidaritas global dan serukan gencatan senjata di palestina dan lebanon menlu sugiono soroti peran brics dalam memperkuat,menlu sugiono ktt brics plus indonesia bergabung brics kazan rusia 2410 indonesia tegaskan solidaritas global serukan gencatan senjata palestina lebanon menlu sugiono soroti peran brics memperkuat,"['menlu', 'sugiono', 'ktt', 'brics', 'plus', 'indonesia', 'bergabung', 'brics', 'kazan', 'rusia', '2410', 'indonesia', 'tegaskan', 'solidaritas', 'global', 'serukan', 'gencatan', 'senjata', 'palestina', 'lebanon', 'menlu', 'sugiono', 'soroti', 'peran', 'brics', 'memperkuat']",menlu sugiono ktt brics plus indonesia gabung brics kazan rusia 2410 indonesia tegas solidaritas global seru gencat senjata palestina lebanon menlu sugiono sorot peran brics kuat,Netral
Mon May 22 08:19:26 +0000 2023,BRICS+ includes Brazil Russia India China South Africa and soon Indonesia Saudi Arabia and 13 other applicants. This multipolar alliance is bigger than the G7. It will end US hegemony and the US dollar as a reserve currency. The expiry date of US empire is set. No escape. https://t.co/pKd8wqGazJ,KimDotcom,BRICS includes Brazil Russia India China South Africa and soon Indonesia Saudi Arabia and 13 other applicants This multipolar alliance is bigger than the G7 It will end US hegemony and the US dollar as a reserve currency The expiry date of US empire is set No escape,"BRICS mencakup Brazil, Rusia, India, Tiongkok, Afrika Selatan, dan segera Indonesia, Arab Saudi, dan 13 negara peserta lainnya. Aliansi multipolar ini lebih besar dari G7. Aliansi ini akan mengakhiri hegemoni AS dan dolar AS sebagai mata uang cadangan. Tanggal kedaluwarsa kekaisaran AS telah ditetapkan. Tidak ada jalan keluar.","brics mencakup brazil, rusia, india, tiongkok, afrika selatan, dan segera indonesia, arab saudi, dan 13 negara peserta lainnya. aliansi multipolar ini lebih besar dari g7. aliansi ini akan mengakhiri hegemoni as dan dolar as sebagai mata uang cadangan. tanggal kedaluwarsa kekaisaran as telah ditetapkan. tidak ada jalan keluar.","brics mencakup brazil, rusia, india, tiongkok, afrika selatan, dan segera indonesia, arab saudi, dan 13 negara peserta lainnya. aliansi multipolar ini lebih besar dari g7. aliansi ini akan mengakhiri hegemoni as dan dolar as sebagai mata uang cadangan. tanggal kedaluwarsa kekaisaran as telah ditetapkan. tidak ada jalan keluar.","brics mencakup brazil, rusia, india, tiongkok, afrika selatan, indonesia, arab saudi, 13 negara peserta lainnya. aliansi multipolar g7. aliansi hegemoni as dolar as mata uang cadangan. tanggal kedaluwarsa kekaisaran as ditetapkan. jalan keluar.","['brics', 'mencakup', 'brazil', ',', 'rusia', ',', 'india', ',', 'tiongkok', ',', 'afrika', 'selatan', ',', 'indonesia', ',', 'arab', 'saudi', ',', '13', 'negara', 'peserta', 'lainnya', '.', 'aliansi', 'multipolar', 'g7', '.', 'aliansi', 'hegemoni', 'as', 'dolar', 'as', 'mata', 'uang', 'cadangan', '.', 'tanggal', 'kedaluwarsa', 'kekaisaran', 'as', 'ditetapkan', '.', 'jalan', 'keluar', '.']",brics cakup brazil rusia india tiongkok afrika selatan indonesia arab saudi 13 negara serta lain aliansi multipolar g7 aliansi hegemoni as dolar as mata uang cadang tanggal kedaluwarsa kaisar as tetap jalan keluar,Netral
Wed Oct 23 08:03:11 +0000 2024,Menteri Luar Negeri Indonesia 🇲🇨 Sugiono tiba di Kazan Russia 🇷🇺 untuk menghadiri KTT ke-16 BRICS. https://t.co/IgmJDXNKaP,luckylucky0971,Menteri Luar Negeri Indonesia 🇲🇨 Sugiono tiba di Kazan Russia 🇷🇺 untuk menghadiri KTT ke16 BRICS,Menteri Luar Negeri Indonesia 🇲🇨 Sugiono tiba di Kazan Russia 🇷🇺 untuk menghadiri KTT ke16 BRICS,menteri luar negeri indonesia 🇲🇨 sugiono tiba di kazan russia 🇷🇺 untuk menghadiri ktt ke16 brics,menteri luar negeri indonesia 🇲🇨 sugiono tiba di kazan russia 🇷🇺 untuk menghadiri ktt ke16 brics,menteri negeri indonesia 🇲🇨 sugiono kazan russia 🇷🇺 menghadiri ktt ke16 brics,"['menteri', 'negeri', 'indonesia', '🇲', '🇨', 'sugiono', 'kazan', 'russia', '🇷', '🇺', 'menghadiri', 'ktt', 'ke16', 'brics']",menteri negeri indonesia sugiono kazan russia hadir ktt ke16 brics,Netral
Wed Oct 23 04:04:48 +0000 2024,🇷🇺🇮🇩 Menteri Luar Negeri Republik Indonesia Sugiono tiba di Kazan Rusia untuk menghadiri KTT ke-16 BRICS. kota Kazan https://t.co/G4wXe7YioX,RusEmbJakarta,🇷🇺🇮🇩 Menteri Luar Negeri Republik Indonesia Sugiono tiba di Kazan Rusia untuk menghadiri KTT ke16 BRICS kota Kazan,🇷🇺🇮🇩 Menteri Luar Negeri Republik Indonesia Sugiono tiba di Kazan Rusia untuk menghadiri KTT ke16 BRICS kota Kazan,🇷🇺🇮🇩 menteri luar negeri republik indonesia sugiono tiba di kazan rusia untuk menghadiri ktt ke16 brics kota kazan,🇷🇺🇮🇩 menteri luar negeri republik indonesia sugiono tiba di kazan rusia untuk menghadiri ktt ke16 brics kota kazan,🇷🇺🇮🇩 menteri negeri republik indonesia sugiono kazan rusia menghadiri ktt ke16 brics kota kazan,"['🇷', '🇺', '🇮', '🇩', 'menteri', 'negeri', 'republik', 'indonesia', 'sugiono', 'kazan', 'rusia', 'menghadiri', 'ktt', 'ke16', 'brics', 'kota', 'kazan']",menteri negeri republik indonesia sugiono kazan rusia hadir ktt ke16 brics kota kazan,Positif
