"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1541561624414257167","Mon Jun 27 23:18:26 +0000 2022","543","BRICS (Brazylia Rosja Indie Chiny Republika Południowej Afryki). Do członkostwa pretendują również Iran i Argentyna. Jak podaje WELT: Powstaje antyzachodni blok tak potężny jak nigdy przedtem w historii https://t.co/gxClHBZnJP","1541561624414257167","https://pbs.twimg.com/media/FWS5kgNX0AAAP90.png","","pl","Józefosław, Polska 🇵🇱","11","52","183","https://x.com/modliszka30/status/1541561624414257167","810562650082070532","modliszka30"
"1540391157779374085","Fri Jun 24 17:47:25 +0000 2022","2270","China has invited Indonesia Malaysia Uzbekistan Iran Egypt Algeria &amp; even Fiji + others to BRICS+ meeting today. These countries are likely to join BRICS as China &amp; Russia want to expand it to counter EU. No Pakistan anywhere.","1540391157779374085","","","en","New Jersey","102","119","720","https://x.com/OSINT_Insider/status/1540391157779374085","818078280242827264","OSINT_Insider"
"1534332699607171072","Wed Jun 08 00:33:16 +0000 2022","944","Kabar baik! Hasil Open Budget Survey 2021 yang diselenggarakan International Budget Partnership peringkat Indonesia membaik di rangking 17 dari 120 negara. Mengungguli banyak negara termasuk AS Jepang Argentina Turki &amp; Arab Saudi. Semoga tata kelola APBN semakin kredibel 🇮🇩 https://t.co/WRN2KMU5IL","1534332699607171072","https://pbs.twimg.com/media/FUsLdA2aAAAFNr7.jpg","","in","Jakarta Indonesia","75","71","296","https://x.com/prastow/status/1534332699607171072","88581196","prastow"
"1583489393871896576","Fri Oct 21 16:04:25 +0000 2022","949","🇨🇳 | China on the expansion of BRICS Saudi Arabia will be coming on board Indonesia applied to join the BRICS payment system BRICS plus: Argentina Turkey Egypt Iran loading... BRICS [40% of global population and big GDP combined] https://t.co/GGOw5Ab5kH","1583489393871896576","https://pbs.twimg.com/ext_tw_video_thumb/1583489340847669248/pu/img/jU2KLh-T9w8byMWy.jpg","","en","International ","27","36","325","https://x.com/_AfricanSoil/status/1583489393871896576","1063336350","_AfricanSoil"
"1586329131511259137","Sat Oct 29 12:08:34 +0000 2022","620","Jika dibandingkan dengan negara tetangga yang masih satu rumpun Austronesia Indonesia jelas kalah telak. Singapura menduduki posisi ke-5 Malaysia menduduki posisi ke-9 dan Brunei menduduki posisi ke-15.","1586329141795659777","","neohistoria_id","in","Pondok Cina, Depok","6","1","16","https://x.com/neohistoria_id/status/1586329141795659777","1495326248100589569","neohistoria_id"
"1588099162889138176","Thu Nov 03 09:22:00 +0000 2022","223","Breaking News : Indonesia Kontrak SRBM Turki! ROKETSAN produsen sistem rudal dan roket terkemuka dari industri pertahanan Turki menghadiri Indo Defense Expo &amp; Forum 2022 yang diadakan di Jakarta Indonesia dan menandatangani perjanjian penting. (1) https://t.co/3EG5ce5RJe","1588099162889138176","https://pbs.twimg.com/media/FgoPxW0aAAE9o80.jpg","","in","Tangerang, Indonesia","8","8","42","https://x.com/MightyWar3/status/1588099162889138176","1272173161405018112","MightyWar3"
"1555365690307096577","Fri Aug 05 01:30:52 +0000 2022","655","Tim Indonesia di BWC 2022 XD : RINOV/PHITA (SEED 14) ADNAN/MYCHELLE dan REHAN/LISA unseeded WD : RIBKA/FADIA dan NITA/CHIKA unseeded MD : KEVIN/MARCUS (SEED 1) AHSAN/HENDRA (SEED 3) FAJAR/RIAN (SEED 5) BAGAS/FIKRI (SEED 15) WS : GREGORIA dan PUTRI unseeded -C","1555365690307096577","","","in","","14","6","61","https://x.com/slayyiii/status/1555365690307096577","1266928187340029952","slayyiii"
"1500097396566798338","Sat Mar 05 13:14:34 +0000 2022","331","Kelak perjanjian itu akan mendorong diadakannya Konferensi Meja Bundar (KMB) yang berujung pada pengakuan Kemerdekaan Indonesia oleh Belanda dan komunitas internasional secara de jure. https://t.co/54zS1uA4Bt","1500097439348715533","https://pbs.twimg.com/media/FNFo5WeaAAQN3ZK.jpg","Leonita_Lestari","in"," Dimana-mana","0","3","49","https://x.com/Leonita_Lestari/status/1500097439348715533","1202108075231989760","Leonita_Lestari"
"1477262895557709825","Sat Jan 01 13:50:49 +0000 2022","319","@tamrintomagola Cek dulu ada siapa di BRIN Indosat yang notabene perusahaan besar saja bisa lepas dari tangan Indonesia. https://t.co/ejfAqDxbGW","1477276124010876928","","tamrintomagola","in","DKI Jakarta, Indonesia","40","28","108","https://x.com/Bluelinedot/status/1477276124010876928","263535077","Bluelinedot"
"1530081656178061312","Fri May 27 07:01:09 +0000 2022","281","Update️Lavrov Arab Saudi dan Argentina telah menyatakan minatnya untuk bergabung dengan kelompok BRICS (Brasil Rusia India China dan Afrika Selatan) https://t.co/kALsiJa3PF","1530081656178061312","https://pbs.twimg.com/media/FTvxJnJVUAAdJjt.jpg","","in","Moscow","5","17","31","https://x.com/yo2thok/status/1530081656178061312","497234852","yo2thok"
"1556920887860875264","Tue Aug 09 08:30:40 +0000 2022","1207","Slt! 357 ribu warga Indonesia udah tau Blackpink mau konser di Indonesia siap-siap war tiket!!!! https://t.co/kApHxL6sx4","1556920887860875264","https://pbs.twimg.com/media/FZtLSv5agAEn3y7.jpg","","in","","43","53","71","https://x.com/BornPinkMF/status/1556920887860875264","1004000389287444480","BornPinkMF"
"1604755849825554432","Mon Dec 19 08:29:44 +0000 2022","215","BREAKING NEWS : #Binance Confirms Indonesian Exchange #Tokocrypto Acquisition https://t.co/Fljar43QU9","1604755849825554432","","","en","","36","31","83","https://x.com/coindesk_id/status/1604755849825554432","1492146816980119553","coindesk_id"
"1563660237667803137","Sun Aug 28 02:00:44 +0000 2022","258","@Ukraine66251776 @georgegalloway Indonesia will also join the BRICS president Joko Widodo has confirmed. and those who will leave the dollar are more and more considering the total population of Indonesia is 270 million people","1563708127480266752","","Ukraine66251776","en","","5","9","71","https://x.com/AyuBlossom1/status/1563708127480266752","1501887034855952388","AyuBlossom1"
"1587246931096453122","Tue Nov 01 00:55:33 +0000 2022","168","I met Bintang for the 1st time at IMU Japan back in March. This was when I just got back into the cosplay community and I didn't have any cosplay moots. Bintang had a sign saying oh tap my shoulder if you wanna be my friend and me being the extroverted social butterfly i am-","1587246932988084224","","depressricky_","en","ur mom || he/him","4","1","10","https://x.com/depressricky_/status/1587246932988084224","1551474586897657856","depressricky_"
"1603032590323257345","Wed Dec 14 14:22:07 +0000 2022","256","Argentina Egypt Algeria Indonesia Kazakhstan Iran Saudi Arabia United Arab Emirates Nigeria Senegal Thailand have applied already or showed strong intend to apply to join BRICS. https://t.co/Eco7nq4fJe","1603032590323257345","https://pbs.twimg.com/media/Fj8dpBVXwAEaPxL.jpg","","en","Paris, Cannes, Milan, Bucarest","7","20","72","https://x.com/PopescuCo/status/1603032590323257345","369786451","PopescuCo"
"1589847824535261184","Tue Nov 08 05:10:33 +0000 2022","2509","Very Short Thread: BRICS+ expanding it's Width! Enroute to become World's one of most Influential Trade &amp; Political Bloc! One more OPEC country...Algeria Files Official Application To Join BRICS. Argentina Iran Indonesia Turkey Saudi &amp; Egypt also in line to join. (1/3)","1589847824535261184","","","en","BHARAT ","30","45","642","https://x.com/MumbaichaDon/status/1589847824535261184","1444684244156968965","MumbaichaDon"
"1546491528507695106","Mon Jul 11 13:48:07 +0000 2022","989"," The B Indonesia dikasih nama panggilan deobina yang terdengar seperti deobitna (더빛나) artinya bersinar. Gabungan The B + INA (Indonesia) cr. tiramishup","1546491528507695106","","","in","","87","16","254","https://x.com/cuitantheboyz/status/1546491528507695106","859394568285966336","cuitantheboyz"
"1583307239624179712","Fri Oct 21 04:00:37 +0000 2022","292","Dunia iko moto Nchi zinazojipanga kujiunga na #BRICS Iran Misri Uturuki Argentina Saudi Arabia Korea Kaskazini Mexico Korea Kusini https://t.co/SvxuGTamwk","1583307239624179712","https://pbs.twimg.com/media/FfkJidEWQAITN7U.jpg","","in","Zanzibar North, Tanzania","2","45","23","https://x.com/ErnestKavol4/status/1583307239624179712","1516632832013225987","ErnestKavol4"
"1539947389028401153","Thu Jun 23 12:24:03 +0000 2022","683","นับว่าเป็นเรื่องที่น่ายินดี สำหรับข่าวนี้ สี จิ้น ผิง ประกาศในที่ประชุม BRICS ที่กรุงปักกิ่ง ว่าจะดันไทยเข้า BRICS ก่อนหน้านี้มี13ประเทศยื่นใบสมัครแล้ว https://t.co/PKnfCbWrkL https://t.co/ACKgfWTgRC","1539947389028401153","https://pbs.twimg.com/media/FV79-7KUcAAvYnn.jpg","","th","","8","25","252","https://x.com/EVILSAGAGemini/status/1539947389028401153","1387428625788510208","EVILSAGAGemini"
"1546298064251809792","Mon Jul 11 00:59:22 +0000 2022","205","Sebanyak 550 UMKM menerima Nomor Induk Berusaha (NIB) oleh Kementrian Investasi/BKPM melibatkan pelaku usaha binaan UMK dari BRI Gojek Tokopedia Grab &amp; Sampoerna. OSS berbasis resiko harapannya memudahkan sistem perizinan usaha terintegrasi elektronik.https://t.co/MbK7APjZ0g https://t.co/9llHSG7wph","1546298064251809792","https://pbs.twimg.com/ext_tw_video_thumb/1546297829983154176/pu/img/mUIkec0GHK8mQ7XN.jpg","","in","","6","69","23","https://x.com/gibran_tweet/status/1546298064251809792","1356478042797797377","gibran_tweet"
"1547593506176135170","Thu Jul 14 14:46:59 +0000 2022","1","Wow. Indonesia menurut saya juga harus gabung anggota ini :v Ini bukan Grup Militer seperti NATO tetapi Ekonomi. Malah menguntungkan Indonesia juga jika bergabung Kalau bisa BRICS lawan Dollar. ","1547593506176135170","","","in","Republic Of Indonesia ","0","0","0","https://x.com/firman__nurhuda/status/1547593506176135170","1424573456029347840","firman__nurhuda"
"1547544259926056961","Thu Jul 14 11:31:18 +0000 2022","0","Too bad. Indonesia perlu gabung BRICS minimal punya akses ke sistem transfer alternatif mereka..","1547544259926056961","","","in","Indonesia","0","1","0","https://x.com/ruliemaulana/status/1547544259926056961","185320244","ruliemaulana"
